Id,Date,TotalSleep_Records,Total_Minutes_Asleep,Total_Time_In_Bed,Time
1503960366,4/12/2016,1,327,346,12:00:00 AM
1503960366,4/13/2016,2,384,407,12:00:00 AM
1503960366,4/15/2016,1,412,442,12:00:00 AM
1503960366,4/16/2016,2,340,367,12:00:00 AM
1503960366,4/17/2016,1,700,712,12:00:00 AM
1503960366,4/19/2016,1,304,320,12:00:00 AM
1503960366,4/20/2016,1,360,377,12:00:00 AM
1503960366,4/21/2016,1,325,364,12:00:00 AM
1503960366,4/23/2016,1,361,384,12:00:00 AM
1503960366,4/24/2016,1,430,449,12:00:00 AM
1503960366,4/25/2016,1,277,323,12:00:00 AM
1503960366,4/26/2016,1,245,274,12:00:00 AM
1503960366,4/28/2016,1,366,393,12:00:00 AM
1503960366,4/29/2016,1,341,354,12:00:00 AM
1503960366,4/30/2016,1,404,425,12:00:00 AM
1503960366,5/1/2016,1,369,396,12:00:00 AM
1503960366,5/2/2016,1,277,309,12:00:00 AM
1503960366,5/3/2016,1,273,296,12:00:00 AM
1503960366,5/5/2016,1,247,264,12:00:00 AM
1503960366,5/6/2016,1,334,367,12:00:00 AM
1503960366,5/7/2016,1,331,349,12:00:00 AM
1503960366,5/8/2016,1,594,611,12:00:00 AM
1503960366,5/9/2016,1,338,342,12:00:00 AM
1503960366,5/10/2016,1,383,403,12:00:00 AM
1503960366,5/11/2016,1,285,306,12:00:00 AM
1644430081,4/29/2016,1,119,127,12:00:00 AM
1644430081,4/30/2016,1,124,142,12:00:00 AM
1644430081,5/2/2016,1,796,961,12:00:00 AM
1644430081,5/8/2016,1,137,154,12:00:00 AM
1844505072,4/15/2016,1,644,961,12:00:00 AM
1844505072,4/30/2016,1,722,961,12:00:00 AM
1844505072,5/1/2016,1,590,961,12:00:00 AM
1927972279,4/12/2016,3,750,775,12:00:00 AM
1927972279,4/13/2016,1,398,422,12:00:00 AM
1927972279,4/15/2016,2,475,499,12:00:00 AM
1927972279,4/26/2016,1,296,315,12:00:00 AM
1927972279,4/28/2016,1,166,178,12:00:00 AM
2026352035,4/12/2016,1,503,546,12:00:00 AM
2026352035,4/13/2016,1,531,565,12:00:00 AM
2026352035,4/14/2016,1,545,568,12:00:00 AM
2026352035,4/15/2016,1,523,573,12:00:00 AM
2026352035,4/16/2016,1,524,567,12:00:00 AM
2026352035,4/17/2016,1,437,498,12:00:00 AM
2026352035,4/19/2016,1,498,540,12:00:00 AM
2026352035,4/20/2016,1,461,510,12:00:00 AM
2026352035,4/21/2016,1,477,514,12:00:00 AM
2026352035,4/22/2016,1,520,545,12:00:00 AM
2026352035,4/23/2016,1,522,554,12:00:00 AM
2026352035,4/24/2016,1,555,591,12:00:00 AM
2026352035,4/25/2016,1,506,531,12:00:00 AM
2026352035,4/27/2016,1,508,545,12:00:00 AM
2026352035,4/28/2016,1,513,545,12:00:00 AM
2026352035,4/29/2016,1,490,510,12:00:00 AM
2026352035,4/30/2016,1,573,607,12:00:00 AM
2026352035,5/1/2016,1,527,546,12:00:00 AM
2026352035,5/2/2016,1,511,543,12:00:00 AM
2026352035,5/4/2016,1,538,560,12:00:00 AM
2026352035,5/5/2016,1,468,485,12:00:00 AM
2026352035,5/6/2016,1,524,548,12:00:00 AM
2026352035,5/7/2016,1,511,521,12:00:00 AM
2026352035,5/8/2016,1,541,568,12:00:00 AM
2026352035,5/9/2016,1,531,556,12:00:00 AM
2026352035,5/10/2016,1,357,380,12:00:00 AM
2026352035,5/11/2016,1,523,553,12:00:00 AM
2026352035,5/12/2016,1,456,485,12:00:00 AM
2320127002,4/23/2016,1,61,69,12:00:00 AM
2347167796,4/13/2016,1,467,531,12:00:00 AM
2347167796,4/14/2016,1,445,489,12:00:00 AM
2347167796,4/15/2016,1,452,504,12:00:00 AM
2347167796,4/17/2016,1,556,602,12:00:00 AM
2347167796,4/18/2016,1,500,557,12:00:00 AM
2347167796,4/19/2016,1,465,514,12:00:00 AM
2347167796,4/21/2016,1,460,484,12:00:00 AM
2347167796,4/22/2016,1,405,461,12:00:00 AM
2347167796,4/23/2016,1,374,386,12:00:00 AM
2347167796,4/24/2016,1,442,459,12:00:00 AM
2347167796,4/25/2016,1,433,471,12:00:00 AM
2347167796,4/26/2016,1,436,490,12:00:00 AM
2347167796,4/27/2016,1,448,499,12:00:00 AM
2347167796,4/28/2016,1,408,450,12:00:00 AM
2347167796,4/29/2016,1,411,473,12:00:00 AM
3977333714,4/12/2016,1,274,469,12:00:00 AM
3977333714,4/13/2016,2,295,456,12:00:00 AM
3977333714,4/14/2016,1,291,397,12:00:00 AM
3977333714,4/15/2016,1,424,556,12:00:00 AM
3977333714,4/16/2016,1,283,510,12:00:00 AM
3977333714,4/17/2016,1,381,566,12:00:00 AM
3977333714,4/18/2016,2,412,522,12:00:00 AM
3977333714,4/19/2016,1,219,395,12:00:00 AM
3977333714,4/20/2016,2,152,305,12:00:00 AM
3977333714,4/21/2016,1,332,512,12:00:00 AM
3977333714,4/22/2016,1,355,476,12:00:00 AM
3977333714,4/23/2016,1,235,372,12:00:00 AM
3977333714,4/24/2016,1,310,526,12:00:00 AM
3977333714,4/25/2016,1,262,467,12:00:00 AM
3977333714,4/26/2016,1,250,371,12:00:00 AM
3977333714,4/27/2016,1,349,540,12:00:00 AM
3977333714,4/28/2016,1,261,423,12:00:00 AM
3977333714,4/29/2016,1,333,478,12:00:00 AM
3977333714,4/30/2016,1,237,382,12:00:00 AM
3977333714,5/1/2016,1,383,626,12:00:00 AM
3977333714,5/2/2016,1,230,384,12:00:00 AM
3977333714,5/3/2016,1,292,500,12:00:00 AM
3977333714,5/4/2016,1,213,336,12:00:00 AM
3977333714,5/5/2016,1,318,480,12:00:00 AM
3977333714,5/6/2016,1,323,512,12:00:00 AM
3977333714,5/7/2016,1,237,443,12:00:00 AM
3977333714,5/8/2016,2,259,456,12:00:00 AM
3977333714,5/10/2016,1,312,452,12:00:00 AM
4020332650,4/12/2016,1,501,541,12:00:00 AM
4020332650,4/16/2016,1,77,77,12:00:00 AM
4020332650,5/3/2016,1,322,332,12:00:00 AM
4020332650,5/4/2016,1,478,536,12:00:00 AM
4020332650,5/5/2016,1,226,248,12:00:00 AM
4020332650,5/6/2016,1,385,408,12:00:00 AM
4020332650,5/8/2016,1,364,402,12:00:00 AM
4020332650,5/10/2016,1,442,494,12:00:00 AM
4319703577,4/14/2016,1,535,557,12:00:00 AM
4319703577,4/15/2016,1,465,491,12:00:00 AM
4319703577,4/16/2016,1,506,522,12:00:00 AM
4319703577,4/18/2016,1,515,551,12:00:00 AM
4319703577,4/19/2016,2,461,498,12:00:00 AM
4319703577,4/20/2016,1,523,543,12:00:00 AM
4319703577,4/21/2016,1,59,65,12:00:00 AM
4319703577,4/22/2016,1,533,550,12:00:00 AM
4319703577,4/23/2016,1,692,722,12:00:00 AM
4319703577,4/24/2016,1,467,501,12:00:00 AM
4319703577,4/25/2016,1,488,506,12:00:00 AM
4319703577,4/26/2016,1,505,516,12:00:00 AM
4319703577,4/27/2016,1,286,307,12:00:00 AM
4319703577,4/28/2016,1,497,522,12:00:00 AM
4319703577,4/29/2016,1,523,546,12:00:00 AM
4319703577,4/30/2016,1,490,516,12:00:00 AM
4319703577,5/1/2016,1,484,500,12:00:00 AM
4319703577,5/2/2016,1,478,506,12:00:00 AM
4319703577,5/3/2016,1,474,512,12:00:00 AM
4319703577,5/6/2016,1,450,491,12:00:00 AM
4319703577,5/7/2016,1,507,530,12:00:00 AM
4319703577,5/8/2016,1,602,638,12:00:00 AM
4319703577,5/9/2016,1,535,565,12:00:00 AM
4319703577,5/10/2016,1,487,517,12:00:00 AM
4319703577,5/11/2016,1,529,558,12:00:00 AM
4319703577,5/12/2016,1,302,321,12:00:00 AM
4388161847,4/15/2016,1,499,526,12:00:00 AM
4388161847,4/16/2016,2,426,448,12:00:00 AM
4388161847,4/17/2016,2,619,641,12:00:00 AM
4388161847,4/18/2016,1,99,104,12:00:00 AM
4388161847,4/19/2016,1,329,338,12:00:00 AM
4388161847,4/20/2016,1,421,451,12:00:00 AM
4388161847,4/21/2016,1,442,458,12:00:00 AM
4388161847,4/22/2016,1,82,85,12:00:00 AM
4388161847,4/23/2016,1,478,501,12:00:00 AM
4388161847,4/24/2016,3,552,595,12:00:00 AM
4388161847,4/26/2016,1,319,346,12:00:00 AM
4388161847,4/27/2016,1,439,500,12:00:00 AM
4388161847,4/28/2016,1,428,458,12:00:00 AM
4388161847,4/30/2016,2,409,430,12:00:00 AM
4388161847,5/1/2016,1,547,597,12:00:00 AM
4388161847,5/2/2016,2,368,376,12:00:00 AM
4388161847,5/4/2016,1,390,414,12:00:00 AM
4388161847,5/5/2016,1,471,495,12:00:00 AM
4388161847,5/5/2016,1,471,495,12:00:00 AM
4388161847,5/7/2016,1,472,496,12:00:00 AM
4388161847,5/8/2016,2,529,541,12:00:00 AM
4388161847,5/9/2016,1,62,65,12:00:00 AM
4388161847,5/10/2016,1,354,375,12:00:00 AM
4388161847,5/11/2016,1,469,494,12:00:00 AM
4445114986,4/12/2016,2,429,457,12:00:00 AM
4445114986,4/13/2016,2,370,406,12:00:00 AM
4445114986,4/14/2016,1,441,492,12:00:00 AM
4445114986,4/15/2016,2,337,379,12:00:00 AM
4445114986,4/16/2016,1,462,499,12:00:00 AM
4445114986,4/17/2016,1,98,107,12:00:00 AM
4445114986,4/19/2016,2,388,424,12:00:00 AM
4445114986,4/20/2016,1,439,462,12:00:00 AM
4445114986,4/21/2016,1,436,469,12:00:00 AM
4445114986,4/22/2016,1,388,417,12:00:00 AM
4445114986,4/25/2016,1,328,345,12:00:00 AM
4445114986,4/26/2016,2,353,391,12:00:00 AM
4445114986,4/27/2016,1,332,374,12:00:00 AM
4445114986,4/28/2016,1,419,442,12:00:00 AM
4445114986,4/29/2016,1,106,108,12:00:00 AM
4445114986,4/30/2016,1,322,353,12:00:00 AM
4445114986,5/1/2016,2,439,459,12:00:00 AM
4445114986,5/2/2016,1,502,542,12:00:00 AM
4445114986,5/3/2016,2,417,450,12:00:00 AM
4445114986,5/4/2016,2,337,363,12:00:00 AM
4445114986,5/5/2016,2,462,513,12:00:00 AM
4445114986,5/6/2016,2,374,402,12:00:00 AM
4445114986,5/7/2016,2,401,436,12:00:00 AM
4445114986,5/8/2016,1,361,391,12:00:00 AM
4445114986,5/9/2016,1,457,533,12:00:00 AM
4445114986,5/10/2016,1,405,426,12:00:00 AM
4445114986,5/11/2016,1,499,530,12:00:00 AM
4445114986,5/12/2016,1,483,501,12:00:00 AM
4558609924,4/21/2016,1,126,137,12:00:00 AM
4558609924,4/26/2016,1,103,121,12:00:00 AM
4558609924,4/29/2016,1,171,179,12:00:00 AM
4558609924,5/1/2016,1,115,129,12:00:00 AM
4558609924,5/8/2016,1,123,134,12:00:00 AM
4702921684,4/12/2016,1,425,439,12:00:00 AM
4702921684,4/13/2016,2,400,430,12:00:00 AM
4702921684,4/14/2016,1,384,415,12:00:00 AM
4702921684,4/15/2016,1,253,257,12:00:00 AM
4702921684,4/16/2016,2,382,406,12:00:00 AM
4702921684,4/17/2016,1,591,612,12:00:00 AM
4702921684,4/18/2016,1,293,312,12:00:00 AM
4702921684,4/19/2016,1,457,487,12:00:00 AM
4702921684,4/20/2016,1,454,468,12:00:00 AM
4702921684,4/21/2016,1,425,434,12:00:00 AM
4702921684,4/23/2016,1,465,475,12:00:00 AM
4702921684,4/24/2016,1,480,506,12:00:00 AM
4702921684,4/25/2016,1,370,380,12:00:00 AM
4702921684,4/26/2016,1,421,429,12:00:00 AM
4702921684,4/27/2016,1,432,449,12:00:00 AM
4702921684,4/28/2016,1,442,461,12:00:00 AM
4702921684,4/29/2016,1,433,447,12:00:00 AM
4702921684,4/30/2016,1,479,501,12:00:00 AM
4702921684,5/3/2016,1,327,373,12:00:00 AM
4702921684,5/4/2016,1,412,434,12:00:00 AM
4702921684,5/5/2016,1,414,428,12:00:00 AM
4702921684,5/6/2016,1,404,449,12:00:00 AM
4702921684,5/7/2016,1,520,543,12:00:00 AM
4702921684,5/7/2016,1,520,543,12:00:00 AM
4702921684,5/9/2016,1,435,458,12:00:00 AM
4702921684,5/10/2016,1,416,431,12:00:00 AM
4702921684,5/11/2016,1,354,366,12:00:00 AM
4702921684,5/12/2016,1,404,442,12:00:00 AM
5553957443,4/12/2016,1,441,464,12:00:00 AM
5553957443,4/13/2016,2,455,488,12:00:00 AM
5553957443,4/14/2016,1,357,418,12:00:00 AM
5553957443,4/15/2016,1,377,409,12:00:00 AM
5553957443,4/16/2016,2,651,686,12:00:00 AM
5553957443,4/17/2016,1,350,402,12:00:00 AM
5553957443,4/18/2016,2,520,541,12:00:00 AM
5553957443,4/19/2016,1,357,410,12:00:00 AM
5553957443,4/20/2016,1,658,678,12:00:00 AM
5553957443,4/21/2016,1,399,431,12:00:00 AM
5553957443,4/22/2016,1,322,353,12:00:00 AM
5553957443,4/23/2016,2,631,725,12:00:00 AM
5553957443,4/24/2016,2,553,640,12:00:00 AM
5553957443,4/25/2016,1,433,468,12:00:00 AM
5553957443,4/26/2016,1,412,453,12:00:00 AM
5553957443,4/27/2016,1,347,391,12:00:00 AM
5553957443,4/28/2016,1,421,457,12:00:00 AM
5553957443,4/29/2016,1,450,495,12:00:00 AM
5553957443,4/30/2016,2,775,843,12:00:00 AM
5553957443,5/1/2016,2,622,686,12:00:00 AM
5553957443,5/2/2016,1,409,471,12:00:00 AM
5553957443,5/3/2016,1,380,429,12:00:00 AM
5553957443,5/4/2016,1,447,470,12:00:00 AM
5553957443,5/5/2016,1,419,464,12:00:00 AM
5553957443,5/6/2016,1,400,434,12:00:00 AM
5553957443,5/7/2016,1,442,470,12:00:00 AM
5553957443,5/8/2016,1,568,608,12:00:00 AM
5553957443,5/9/2016,1,453,494,12:00:00 AM
5553957443,5/10/2016,1,418,443,12:00:00 AM
5553957443,5/11/2016,1,463,486,12:00:00 AM
5553957443,5/12/2016,1,438,475,12:00:00 AM
5577150313,4/12/2016,1,419,438,12:00:00 AM
5577150313,4/13/2016,1,432,458,12:00:00 AM
5577150313,4/14/2016,1,477,497,12:00:00 AM
5577150313,4/15/2016,1,392,413,12:00:00 AM
5577150313,4/16/2016,1,406,445,12:00:00 AM
5577150313,4/17/2016,1,549,583,12:00:00 AM
5577150313,4/18/2016,1,527,553,12:00:00 AM
5577150313,4/19/2016,1,449,465,12:00:00 AM
5577150313,4/20/2016,1,447,480,12:00:00 AM
5577150313,4/21/2016,1,414,437,12:00:00 AM
5577150313,4/22/2016,1,338,366,12:00:00 AM
5577150313,4/23/2016,1,384,402,12:00:00 AM
5577150313,4/24/2016,1,543,615,12:00:00 AM
5577150313,4/25/2016,1,421,461,12:00:00 AM
5577150313,4/26/2016,1,354,377,12:00:00 AM
5577150313,4/27/2016,1,424,452,12:00:00 AM
5577150313,4/28/2016,1,361,372,12:00:00 AM
5577150313,4/29/2016,1,459,485,12:00:00 AM
5577150313,4/30/2016,1,412,433,12:00:00 AM
5577150313,5/1/2016,1,379,398,12:00:00 AM
5577150313,5/2/2016,2,525,553,12:00:00 AM
5577150313,5/3/2016,1,508,543,12:00:00 AM
5577150313,5/4/2016,1,603,634,12:00:00 AM
5577150313,5/5/2016,1,74,78,12:00:00 AM
5577150313,5/10/2016,1,504,562,12:00:00 AM
5577150313,5/11/2016,1,431,476,12:00:00 AM
6117666160,4/16/2016,1,380,398,12:00:00 AM
6117666160,4/17/2016,2,336,350,12:00:00 AM
6117666160,4/18/2016,2,493,510,12:00:00 AM
6117666160,4/19/2016,1,465,492,12:00:00 AM
6117666160,4/20/2016,1,474,502,12:00:00 AM
6117666160,4/21/2016,1,508,550,12:00:00 AM
6117666160,4/22/2016,1,480,546,12:00:00 AM
6117666160,4/23/2016,1,492,539,12:00:00 AM
6117666160,4/24/2016,1,353,367,12:00:00 AM
6117666160,4/27/2016,1,542,557,12:00:00 AM
6117666160,4/28/2016,1,393,416,12:00:00 AM
6117666160,4/29/2016,1,600,636,12:00:00 AM
6117666160,5/1/2016,1,507,575,12:00:00 AM
6117666160,5/5/2016,1,392,415,12:00:00 AM
6117666160,5/6/2016,2,658,698,12:00:00 AM
6117666160,5/7/2016,2,498,507,12:00:00 AM
6117666160,5/8/2016,1,555,603,12:00:00 AM
6117666160,5/9/2016,1,492,522,12:00:00 AM
6775888955,4/13/2016,1,235,260,12:00:00 AM
6775888955,4/14/2016,1,423,441,12:00:00 AM
6775888955,4/15/2016,1,391,406,12:00:00 AM
6962181067,4/12/2016,1,366,387,12:00:00 AM
6962181067,4/13/2016,3,630,679,12:00:00 AM
6962181067,4/14/2016,2,508,535,12:00:00 AM
6962181067,4/15/2016,1,370,386,12:00:00 AM
6962181067,4/16/2016,1,357,366,12:00:00 AM
6962181067,4/17/2016,1,427,446,12:00:00 AM
6962181067,4/18/2016,1,442,458,12:00:00 AM
6962181067,4/19/2016,1,476,535,12:00:00 AM
6962181067,4/20/2016,1,418,424,12:00:00 AM
6962181067,4/21/2016,1,451,457,12:00:00 AM
6962181067,4/22/2016,1,425,435,12:00:00 AM
6962181067,4/23/2016,1,528,546,12:00:00 AM
6962181067,4/24/2016,1,511,514,12:00:00 AM
6962181067,4/25/2016,1,400,415,12:00:00 AM
6962181067,4/26/2016,1,441,446,12:00:00 AM
6962181067,4/27/2016,1,455,467,12:00:00 AM
6962181067,4/28/2016,1,440,453,12:00:00 AM
6962181067,4/29/2016,1,433,447,12:00:00 AM
6962181067,4/30/2016,1,422,424,12:00:00 AM
6962181067,5/1/2016,1,411,426,12:00:00 AM
6962181067,5/2/2016,1,466,482,12:00:00 AM
6962181067,5/3/2016,1,394,418,12:00:00 AM
6962181067,5/4/2016,1,442,455,12:00:00 AM
6962181067,5/5/2016,1,467,491,12:00:00 AM
6962181067,5/6/2016,1,443,462,12:00:00 AM
6962181067,5/7/2016,1,298,334,12:00:00 AM
6962181067,5/8/2016,1,541,569,12:00:00 AM
6962181067,5/9/2016,1,489,497,12:00:00 AM
6962181067,5/10/2016,1,469,481,12:00:00 AM
6962181067,5/11/2016,1,452,480,12:00:00 AM
6962181067,5/12/2016,1,516,535,12:00:00 AM
7007744171,4/16/2016,1,79,82,12:00:00 AM
7007744171,5/1/2016,1,58,61,12:00:00 AM
7086361926,4/12/2016,1,514,525,12:00:00 AM
7086361926,4/13/2016,1,451,465,12:00:00 AM
7086361926,4/14/2016,1,472,476,12:00:00 AM
7086361926,4/15/2016,1,377,386,12:00:00 AM
7086361926,4/19/2016,1,472,483,12:00:00 AM
7086361926,4/20/2016,1,492,502,12:00:00 AM
7086361926,4/21/2016,1,390,411,12:00:00 AM
7086361926,4/22/2016,1,428,448,12:00:00 AM
7086361926,4/24/2016,1,681,704,12:00:00 AM
7086361926,4/25/2016,1,446,447,12:00:00 AM
7086361926,4/26/2016,1,485,500,12:00:00 AM
7086361926,4/27/2016,1,469,479,12:00:00 AM
7086361926,4/28/2016,1,354,367,12:00:00 AM
7086361926,4/30/2016,1,485,489,12:00:00 AM
7086361926,5/1/2016,1,388,407,12:00:00 AM
7086361926,5/2/2016,1,440,459,12:00:00 AM
7086361926,5/3/2016,1,456,461,12:00:00 AM
7086361926,5/4/2016,1,420,436,12:00:00 AM
7086361926,5/6/2016,1,322,333,12:00:00 AM
7086361926,5/7/2016,1,530,548,12:00:00 AM
7086361926,5/8/2016,1,481,510,12:00:00 AM
7086361926,5/9/2016,1,427,438,12:00:00 AM
7086361926,5/11/2016,1,451,463,12:00:00 AM
7086361926,5/12/2016,1,444,457,12:00:00 AM
8053475328,4/20/2016,1,486,493,12:00:00 AM
8053475328,4/23/2016,1,331,337,12:00:00 AM
8053475328,5/7/2016,1,74,75,12:00:00 AM
8378563200,4/12/2016,1,338,356,12:00:00 AM
8378563200,4/13/2016,2,447,487,12:00:00 AM
8378563200,4/14/2016,1,424,455,12:00:00 AM
8378563200,4/15/2016,1,513,533,12:00:00 AM
8378563200,4/16/2016,2,611,689,12:00:00 AM
8378563200,4/17/2016,2,525,591,12:00:00 AM
8378563200,4/18/2016,1,398,451,12:00:00 AM
8378563200,4/19/2016,1,387,421,12:00:00 AM
8378563200,4/20/2016,1,381,409,12:00:00 AM
8378563200,4/21/2016,1,396,417,12:00:00 AM
8378563200,4/22/2016,1,441,469,12:00:00 AM
8378563200,4/23/2016,1,565,591,12:00:00 AM
8378563200,4/24/2016,1,458,492,12:00:00 AM
8378563200,4/25/2016,1,388,402,12:00:00 AM
8378563200,4/25/2016,1,388,402,12:00:00 AM
8378563200,4/26/2016,1,550,584,12:00:00 AM
8378563200,4/27/2016,1,531,600,12:00:00 AM
8378563200,4/28/2016,1,506,556,12:00:00 AM
8378563200,4/29/2016,1,527,562,12:00:00 AM
8378563200,4/30/2016,1,468,555,12:00:00 AM
8378563200,5/1/2016,1,475,539,12:00:00 AM
8378563200,5/2/2016,1,351,385,12:00:00 AM
8378563200,5/3/2016,1,405,429,12:00:00 AM
8378563200,5/4/2016,1,441,477,12:00:00 AM
8378563200,5/5/2016,1,381,417,12:00:00 AM
8378563200,5/6/2016,1,323,355,12:00:00 AM
8378563200,5/7/2016,2,459,513,12:00:00 AM
8378563200,5/8/2016,1,545,606,12:00:00 AM
8378563200,5/9/2016,1,359,399,12:00:00 AM
8378563200,5/10/2016,1,342,391,12:00:00 AM
8378563200,5/11/2016,1,368,387,12:00:00 AM
8378563200,5/12/2016,1,496,546,12:00:00 AM
8792009665,4/12/2016,1,458,493,12:00:00 AM
8792009665,4/13/2016,1,531,552,12:00:00 AM
8792009665,4/14/2016,1,486,503,12:00:00 AM
8792009665,4/15/2016,1,363,377,12:00:00 AM
8792009665,4/20/2016,1,528,547,12:00:00 AM
8792009665,4/22/2016,1,391,407,12:00:00 AM
8792009665,4/23/2016,1,339,360,12:00:00 AM
8792009665,4/27/2016,1,423,428,12:00:00 AM
8792009665,4/28/2016,1,402,416,12:00:00 AM
8792009665,4/29/2016,1,398,406,12:00:00 AM
8792009665,4/30/2016,1,343,360,12:00:00 AM
8792009665,5/1/2016,1,503,527,12:00:00 AM
8792009665,5/2/2016,1,415,423,12:00:00 AM
8792009665,5/3/2016,1,516,545,12:00:00 AM
8792009665,5/4/2016,1,439,463,12:00:00 AM
